# Created by Octave 5.1.0, Wed Jul 03 10:28:59 2019 GMT
# name: xy
# type: matrix
# rows: 30
# columns: 2
 5.5729988879541388 4.8961275754294409
 4.1301118584900589 4.1943944301510001
 5.0128145826612593 6.2257158382187763
 5.8662277674979713 3.6308036610180121
 3.0939266295675125 5.2149115470180085
 6.6245366600180144 5.9955999554150763
 4.3111795080083244 2.7201499210915947
 3.7682557651309696 7.067776113574082
 7.3682762246915248 3.99330285370876
 2.2997105131365383 3.8243643559134868
 6.1589150540190287 7.5946310688584244
 5.8370636105391647 1.8962752249801791
 2.0379902021869061 6.5524766044212024
 8.2736839359908121 5.6386738665085234
 2.8205638553201973 1.9438517659848145
 4.4134774331387376 8.6207054121998112
 7.8775772644452795 2.3833586211457067
 0.86026695965821043 4.7292320682005888
 7.8566000520335129 7.8421931015933461
 4.6969921973365132 0.58964142772442385
 2.0494158148933477 8.3074396682248821
 9.4279514683195895 4.2863770802441019
 1.0380726384132304 2.211793438580572
 5.955189191281451 9.6037626389539366
 7.3564666379441572 0.60250785486332403
 0.065977743008707859 6.4370771129073647
 9.6072403575479886 7.0727811735025279
 2.8470661281160954 0
 3.0603704642455787 10
 9.7990325037122155 2.3192981546622273


